name,val,sci,common,kingdom,phylum,class,order,family,genus
Western Painted Turtle,0.876366246757433,Chrysemys picta bellii,Western Painted Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Chrysemys
Red-eared Slider,0.876366246757433,Trachemys scripta elegans,Red-eared Slider,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Trachemys
Green Anole,0.87893750576274,Anolis carolinensis,Green Anole,Metazoa,Chordata,Lepidosauria,Squamata,Dactyloidae,Anolis
Ave sol,0.880680730114946,Eurypyga helias,Ave sol,Metazoa,Chordata,Aves,Gruiformes,Eurypygidae,Eurypyga
Limosa lapponica baueri,0.892011436857174,Limosa lapponica baueri,Eastern Bar-tailed Godwit,Metazoa,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa
King Cobra,0.893056172667308,Ophiophagus hannah,King Cobra,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus
Green Sea Turtle,0.898742813175205,Chelonia mydas,Green Sea Turtle,Metazoa,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia
Three-toed Box Turtle,0.898742813175205,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Terrapene
Three-toed Box Turtle,0.898742813175205,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Terrapene
Three-toed Box Turtle,0.898742813175205,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Terrapene
Big-headed Turtle,0.898742813175205,Platysternon megacephalum,Big-headed Turtle,Metazoa,Chordata,Reptilia,Testudines,Platysternidae,Platysternon
Astatotilapia calliptera,0.905094597002142,Astatotilapia calliptera,eastern happy,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Astatotilapia
Haplochromis burtoni,0.905094597002142,Haplochromis burtoni,Burton's mouthbrooder,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Haplochromis
Maylandia zebra,0.905094597002142,Maylandia zebra,zebra mbuna,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Maylandia
tilapia azul,0.905094597002142,Oreochromis aureus,tilapia azul,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
tilapia azul,0.905094597002142,Oreochromis aureus,tilapia azul,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
Pundamilia nyererei,0.905094597002142,Pundamilia nyererei,Ruti Island Cichlid,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Pundamilia
fairy cichlid,0.907634875602822,Neolamprologus brichardi,fairy cichlid,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Neolamprologus
Mainland Tiger Snake,0.913214498516955,Notechis scutatus,Mainland Tiger Snake,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Notechis
Mainland Tiger Snake,0.913214498516955,Notechis scutatus,Mainland Tiger Snake,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Notechis
Eastern Brown Snake,0.913803090912516,Pseudonaja textilis,Eastern Brown Snake,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja
yellow croaker,0.926287527351621,Larimichthys crocea,yellow croaker,Metazoa,Chordata,Actinopteri,Perciformes,Sciaenidae,Larimichthys
yellow croaker,0.926287527351621,Larimichthys crocea,yellow croaker,Metazoa,Chordata,Actinopteri,Perciformes,Sciaenidae,Larimichthys
Xenopus tropicalis,0.940692189704394,Xenopus tropicalis,western clawed frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
Xenopus tropicalis,0.940692189704394,Xenopus tropicalis,western clawed frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
Barramundi perch,0.943389359926895,Lates calcarifer,giant perch,Metazoa,Chordata,Actinopteri,Perciformes,Centropomidae,Lates
giant perch,0.943389359926895,Lates calcarifer,giant perch,Metazoa,Chordata,Actinopteri,Perciformes,Centropomidae,Lates
Calidris pugnax,0.943564119065163,Calidris pugnax,ruff,Metazoa,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Calidris pugnax,0.943564119065163,Calidris pugnax,ruff,Metazoa,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Eastern Brown Snake,0.945927460309533,Pseudonaja textilis,Eastern Brown Snake,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja
Archocentrus centrarchus,0.947714781079853,Archocentrus centrarchus,Flier cichlid,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Archocentrus
Pinta Giant Tortoise,0.954471246962209,Chelonoidis abingdonii,Pinta Giant Tortoise,Metazoa,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis
Pinta Giant Tortoise,0.954471246962209,Chelonoidis abingdonii,Pinta Giant Tortoise,Metazoa,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis
Goode's Thornscrub Tortoise,0.954471246962209,Gopherus evgoodei,Goode's Thornscrub Tortoise,Metazoa,Chordata,Reptilia,Testudines,Testudinidae,Gopherus
snakefish,0.957670995747243,Erpetoichthys calabaricus,snakefish,Metazoa,Chordata,Cladistia,Polypteriformes,Polypteridae,Erpetoichthys
Callorhinchus milii,0.95956633079076,Callorhinchus milii,Australian ghostshark,Metazoa,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,Callorhinchus
Callorhinchus milii,0.95956633079076,Callorhinchus milii,Australian ghostshark,Metazoa,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,Callorhinchus
Collichthys lucidus,0.977141153590855,Collichthys lucidus,big head croaker,Metazoa,Chordata,Actinopteri,Perciformes,Sciaenidae,Collichthys
northern wolffish,0.99257854419235,Anarrhichthys ocellatus,northern wolffish,Metazoa,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarrhichthys
Western Terrestrial Garter Snake,0.994382120942009,Thamnophis elegans,Western Terrestrial Garter Snake,Metazoa,Chordata,Lepidosauria,Squamata,Colubridae,Thamnophis
Midas cichlid,1.00166099076387,Amphilophus citrinellus,Midas cichlid,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Amphilophus
Rhinatrema bivittatum,1.00362334642647,Rhinatrema bivittatum,two-lined caecilian,Metazoa,Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema
Burmese Python,1.00703502181799,Python bivittatus,Burmese Python,Metazoa,Chordata,Lepidosauria,Squamata,Pythonidae,Python
Hippocampus comes,1.03909664364323,Hippocampus comes,tiger tail seahorse,Metazoa,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus
Dissostichus mawsoni,1.04219701258143,Dissostichus mawsoni,Antarctic toothfish,Metazoa,Chordata,Actinopteri,Perciformes,Nototheniidae,Dissostichus
chopita bicolor,1.04422700172171,Stegastes partitus,chopita bicolor,Metazoa,Chordata,Actinopteri,Perciformes,Pomacentridae,Stegastes
Sinocyclocheilus anshuiensis,1.04917792195281,Sinocyclocheilus anshuiensis,Blind barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Sinocyclocheilus anshuiensis,1.04917792195281,Sinocyclocheilus anshuiensis,Blind barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Rhinatrema bivittatum,1.05355850275701,Rhinatrema bivittatum,two-lined caecilian,Metazoa,Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema
Tetraodon,1.056963172898,Tetraodon nigroviridis,spotted green pufferfish,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetraodon
African Clawed Frog,1.05997036090033,Xenopus laevis,African Clawed Frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
African Clawed Frog,1.05997036090033,Xenopus laevis,African Clawed Frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
swamp eel,1.06306975843426,Monopterus albus,swamp eel,Metazoa,Chordata,Actinopteri,Synbranchiformes,Synbranchidae,Monopterus
goldfish,1.06859994718519,Carassius auratus,goldfish,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius
West Indian Ocean coelacanth,1.07584098381531,Latimeria chalumnae,West Indian Ocean coelacanth,Metazoa,Chordata,Coelacanthimorpha,Coelacanthiformes,Coelacanthidae,Latimeria
Common carp german mirror,1.07663859465017,Cyprinus carpio,Common carp german mirror,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus
Komodo dragon,1.07785978696481,Varanus komodoensis,Komodo Monitor,Metazoa,Chordata,Lepidosauria,Squamata,Varanidae,Varanus
Triplophysa tibetana,1.07892537863945,Triplophysa tibetana,stone loach,Metazoa,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Triplophysa
clown anemonefish,1.07949441949224,Amphiprion ocellaris,clown anemonefish,Metazoa,Chordata,Actinopteri,Perciformes,Pomacentridae,Amphiprion
Orange clownfish,1.07949441949224,Amphiprion percula,clown fish,Metazoa,Chordata,Actinopteri,Perciformes,Pomacentridae,Amphiprion
Ocean sunfish,1.08127091345869,Mola mola,ocean sunfish,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Molidae,Mola
West Indian Ocean coelacanth,1.084283990313,Latimeria chalumnae,West Indian Ocean coelacanth,Metazoa,Chordata,Coelacanthimorpha,Coelacanthiformes,Coelacanthidae,Latimeria
river perch,1.08458020643663,Perca fluviatilis,river perch,Metazoa,Chordata,Actinopteri,Perciformes,Percidae,Perca
Sinocyclocheilus anshuiensis,1.08612611341219,Sinocyclocheilus anshuiensis,Blind barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Sinocyclocheilus anshuiensis,1.08612611341219,Sinocyclocheilus anshuiensis,Blind barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Sinocyclocheilus rhinocerous,1.08612611341219,Sinocyclocheilus rhinocerous,horned Golden-line barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Sinocyclocheilus rhinocerous,1.08612611341219,Sinocyclocheilus rhinocerous,horned Golden-line barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Common carp hebao red,1.08999034102762,Cyprinus carpio,Common carp hebao red,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus
common carp,1.08999034102762,Cyprinus carpio,common carp,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus
Common carp huanghe,1.08999034102762,Cyprinus carpio,Common carp huanghe,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus
Notothenia coriiceps,1.0900512616273,Notothenia coriiceps,black rockcod,Metazoa,Chordata,Actinopteri,Perciformes,Nototheniidae,Notothenia
Sinocyclocheilus rhinocerous,1.09152012905238,Sinocyclocheilus rhinocerous,horned Golden-line barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Sinocyclocheilus rhinocerous,1.09152012905238,Sinocyclocheilus rhinocerous,horned Golden-line barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Stickleback,1.09304982947091,Gasterosteus aculeatus,Alaskan stickleback,Metazoa,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus
lineated blenny,1.0970899205675,Salarias fasciatus,lineated blenny,Metazoa,Chordata,Actinopteri,Blenniiformes,Blenniidae,Salarias
lineated blenny,1.0970899205675,Salarias fasciatus,lineated blenny,Metazoa,Chordata,Actinopteri,Blenniiformes,Blenniidae,Salarias
lineated blenny,1.0970899205675,Salarias fasciatus,lineated blenny,Metazoa,Chordata,Actinopteri,Blenniiformes,Blenniidae,Salarias
whitefish,1.09915660530011,Coregonus sp. 'balchen',whitefish,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Coregonus
Microcaecilia unicolor,1.1092345730739,Microcaecilia unicolor,tiny Cayenne caecilian,Metazoa,Chordata,Amphibia,Gymnophiona,Siphonopidae,Microcaecilia
yellow perch,1.11042734086727,Perca flavescens,yellow perch,Metazoa,Chordata,Actinopteri,Perciformes,Percidae,Perca
pikeperch,1.11042734086727,Sander lucioperca,pikeperch,Metazoa,Chordata,Actinopteri,Perciformes,Percidae,Sander
Labeo rohita,1.11182151040709,Labeo rohita,rohu,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Labeo
Indian glassfish,1.12111832815538,Parambassis ranga,Indian glassfish,Metazoa,Chordata,Actinopteri,Perciformes,Ambassidae,Parambassis
cloudy catshark,1.12347191657047,Scyliorhinus torazame,cloudy catshark,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus
snakehead,1.12550158356377,Channa argus,snakehead,Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa
mummichog,1.13378448329643,Fundulus heteroclitus,mummichog,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus
African Clawed Frog,1.13738797759923,Xenopus laevis,African Clawed Frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
Danionella translucida,1.13822360188196,Danionella translucida,micro glassfish,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danionella
orangethroat darter,1.13925736212331,Etheostoma spectabile,orangethroat darter,Metazoa,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma
orangethroat darter,1.13925736212331,Etheostoma spectabile,orangethroat darter,Metazoa,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma
Oryzias melastigma,1.14436325087463,Oryzias melastigma,marine medaka,Metazoa,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias
spiny eel,1.1445427319881,Mastacembelus armatus,spiny eel,Metazoa,Chordata,Actinopteri,Synbranchiformes,Mastacembelidae,Mastacembelus
Nothobranchius furzeri,1.14684503615515,Nothobranchius furzeri,turquoise killifish,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Nothobranchiidae,Nothobranchius
Takifugu bimaculatus,1.14687267141222,Takifugu bimaculatus,Futatsuboshi-fugu,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu
Takifugu rubripes,1.14687267141222,Takifugu rubripes,Japanese Puffer,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu
Denticeps clupeoides,1.14770838140031,Denticeps clupeoides,denticle herring,Metazoa,Chordata,Actinopteri,Clupeiformes,Denticipitidae,Denticeps
Denticeps clupeoides,1.14770838140031,Denticeps clupeoides,denticle herring,Metazoa,Chordata,Actinopteri,Clupeiformes,Denticipitidae,Denticeps
bolín,1.15328457916493,Cyprinodon variegatus,bolín,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Cyprinodon
Oryzias melastigma,1.15387977794788,Oryzias melastigma,marine medaka,Metazoa,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias
java medaka,1.15387977794788,Oryzias javanicus,java medaka,Metazoa,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias
siamese fighting fish,1.15508803576954,Betta splendens,siamese fighting fish,Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta
Austrofundulus limnaeus,1.16061900636019,Austrofundulus limnaeus,Killifish,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Rivulidae,Austrofundulus
sharksucker,1.16758566014424,Echeneis naucrates,sharksucker,Metazoa,Chordata,Actinopteri,Carangiformes,Echeneidae,Echeneis
sharksucker,1.16758566014424,Echeneis naucrates,sharksucker,Metazoa,Chordata,Actinopteri,Carangiformes,Echeneidae,Echeneis
sterlet,1.16888157265566,Acipenser ruthenus,sterlet,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser
Sparus aurata,1.17094827535792,Sparus aurata,gilt-head bream,Metazoa,Chordata,Actinopteri,Spariformes,Sparidae,Sparus
blacktipped soldierfish,1.17328448520556,Myripristis murdjan,blacktipped soldierfish,Metazoa,Chordata,Actinopteri,Holocentriformes,Holocentridae,Myripristis
Pygocentrus nattereri,1.17543568659081,Pygocentrus nattereri,red-bellied piranha,Metazoa,Chordata,Actinopteri,Characiformes,Serrasalmidae,Pygocentrus
northern pike,1.17577885621096,Esox lucius,northern pike,Metazoa,Chordata,Actinopteri,Esociformes,Esocidae,Esox
climbing perch,1.17878040808906,Anabas testudineus,climbing perch,Metazoa,Chordata,Actinopteri,Anabantiformes,Anabantidae,Anabas
espada de Monterrey,1.18318510091484,Xiphophorus couchianus,espada de Monterrey,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Xiphophorus
Sphaeramia orbicularis,1.18607043423981,Sphaeramia orbicularis,orbiculate cardinalfish,Metazoa,Chordata,Actinopteri,Kurtiformes,Apogonidae,Sphaeramia
platy,1.18637041747536,Xiphophorus maculatus,platy,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Xiphophorus
channel catfish,1.1887376908665,Ictalurus punctatus,channel catfish,Metazoa,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ictalurus
Cottoperca gobio,1.19268556948889,Cottoperca gobio,channel bull blenny,Metazoa,Chordata,Actinopteri,Perciformes,Bovichtidae,Cottoperca
greater amberjack,1.19482091933952,Seriola dumerili,greater amberjack,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola
Seriola lalandi dorsalis,1.19482091933952,Seriola lalandi dorsalis,yellowtail amberjack,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola
rainbow trout,1.19596649547667,Oncorhynchus mykiss,rainbow trout,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus
Baltic herring,1.19774874752813,Clupea harengus,Baltic herring,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea
sabalote,1.19961547074646,Chanos chanos,sabalote,Metazoa,Chordata,Actinopteri,Gonorynchiformes,Chanidae,Chanos
Pangasianodon hypophthalmus,1.20189790511062,Pangasianodon hypophthalmus,iridescent shark,Metazoa,Chordata,Actinopteri,Siluriformes,Pangasiidae,Pangasianodon
gupi,1.20505418656034,Poecilia reticulata,gupi,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poecilia
Bagarius yarrelli,1.2116926404881,Bagarius yarrelli,giant devil catfish,Metazoa,Chordata,Actinopteri,Siluriformes,Sisoridae,Bagarius
mosquitofish,1.21234929607042,Gambusia affinis,mosquitofish,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia
Indian glassfish,1.21567737412293,Parambassis ranga,Indian glassfish,Metazoa,Chordata,Actinopteri,Perciformes,Ambassidae,Parambassis
Cynoglossus semilaevis,1.21916268862228,Cynoglossus semilaevis,Tongue sole,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Cynoglossus
Huchen,1.22233959200534,Hucho hucho,Danube salmon,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Hucho
Japanese medaka HSOK,1.22432576356818,Oryzias latipes,Japanese killifish,Metazoa,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias
shortfin molly,1.23085898828406,Poecilia mexicana,shortfin molly,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poecilia
topote amazona,1.23085898828406,Poecilia formosa,topote amazona,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poecilia
Baltic herring,1.23334269932079,Clupea harengus,Baltic herring,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea
Baltic herring,1.23334269932079,Clupea harengus,Baltic herring,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea
cola de espada,1.2336527917666,Xiphophorus hellerii,cola de espada,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Xiphophorus
sardinita mexicana,1.23868596121146,Astyanax mexicanus,sardinita mexicana,Metazoa,Chordata,Actinopteri,Characiformes,Characidae,Astyanax
turbot,1.23937537861894,Scophthalmus maximus,turbot,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Scophthalmus
Takifugu flavidus,1.24575557068057,Takifugu flavidus,Yellowbelly pufferfish,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu
Takifugu rubripes,1.24575557068057,Takifugu rubripes,Japanese Puffer,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu
brown trout,1.24632649842078,Salmo trutta,brown trout,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo
brown trout,1.24632649842078,Salmo trutta,brown trout,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo
brown trout,1.24632649842078,Salmo trutta,brown trout,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo
coho salmon,1.2464052744595,Oncorhynchus kisutch,coho salmon,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus
coho salmon,1.2464052744595,Oncorhynchus kisutch,coho salmon,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus
electric eel,1.24713744146939,Electrophorus electricus,electric eel,Metazoa,Chordata,Actinopteri,Gymnotiformes,Gymnotidae,Electrophorus
sailfin molly,1.25255304873876,Poecilia latipinna,sailfin molly,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poecilia
Kryptolebias marmoratus,1.2531104757248,Kryptolebias marmoratus,mangrove rivulus fish,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Rivulidae,Kryptolebias
Tachysurus fulvidraco,1.25356263413284,Tachysurus fulvidraco,yellowhead catfish,Metazoa,Chordata,Actinopteri,Siluriformes,Bagridae,Tachysurus
ballan wrasse,1.27224863043374,Labrus bergylta,ballan wrasse,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Labrus
Asian bonytongue,1.27447816267122,Scleropages formosus,Asian bonytongue,Metazoa,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages
Asian bonytongue,1.27447816267122,Scleropages formosus,Asian bonytongue,Metazoa,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages
Arctic char,1.27637629632963,Salvelinus alpinus,Arctic char,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus
Sphaeramia orbicularis,1.28309202956344,Sphaeramia orbicularis,orbiculate cardinalfish,Metazoa,Chordata,Actinopteri,Kurtiformes,Apogonidae,Sphaeramia
Sphaeramia orbicularis,1.28309202956344,Sphaeramia orbicularis,orbiculate cardinalfish,Metazoa,Chordata,Actinopteri,Kurtiformes,Apogonidae,Sphaeramia
spotty-tail,1.28500059476834,Acanthochromis polyacanthus,spotty-tail,Metazoa,Chordata,Actinopteri,Perciformes,Pomacentridae,Acanthochromis
Gouania willdenowi,1.30412883520535,Gouania willdenowi,blunt-snouted clingfish,Metazoa,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Gouania
Paramormyrops kingsleyae,1.31654887903224,Paramormyrops kingsleyae,Old Calabar mormyrid,Metazoa,Chordata,Actinopteri,Osteoglossiformes,Mormyridae,Paramormyrops
raie épineuse,1.3903601761751,Amblyraja radiata,raie épineuse,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Amblyraja
Nanorana parkeri,1.39041151213031,Nanorana parkeri,High Himalaya frog,Metazoa,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
Round goby,1.40983342565419,Neogobius melanostomus,gobie à taches noires,Metazoa,Chordata,Actinopteri,Perciformes,Gobiidae,Neogobius
Cod,1.44607577850906,Gadus morhua,morue de l'Atlantique,Metazoa,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus
Sinocyclocheilus grahami,1.46070234984469,Sinocyclocheilus grahami,golden-line barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
spotted gar,1.50344712421336,Lepisosteus oculatus,spotted gar,Metazoa,Chordata,Actinopteri,Semionotiformes,Lepisosteidae,Lepisosteus
spotted gar,1.50344712421336,Lepisosteus oculatus,spotted gar,Metazoa,Chordata,Actinopteri,Semionotiformes,Lepisosteidae,Lepisosteus
Boleophthalmus pectinirostris,1.53653883999365,Boleophthalmus pectinirostris,Great blue spotted mudskipper,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Boleophthalmus
sabalote,1.56533555293385,Chanos chanos,sabalote,Metazoa,Chordata,Actinopteri,Gonorynchiformes,Chanidae,Chanos
sea lamprey,1.62430291208943,Petromyzon marinus,sea lamprey,Metazoa,Chordata,Hyperoartia,Petromyzontiformes,Petromyzontidae,Petromyzon
